pt_part,pt_um,pt_prod_line,pt_part_type
28-22-0844-01,PC,EVS,RM
28-22-0844-02,PC,EVS,RM
28-22-0844-03,PC,EVS,RM
28-22-0917,PC,EVS,RM
28-22-0922-02,PC,EVS,RM
28-22-0922-03,PC,EVS,RM
28-22-0922-04,PC,EVS,RM
28-22-0922-05,PC,EVS,RM
28-22-0922-06,PC,EVS,RM
28-22-0922-07,PC,EVS,RM
28-22-0922-08,PC,EVS,RM
28-22-0922-09,PC,EVS,RM
28-22-0922-10,PC,EVS,RM
28-22-0922-11,PC,EVS,RM
28-22-0922-12,PC,EVS,RM
28-22-0922-13,PC,EVS,RM
28-22-0922-14,PC,EVS,RM
28-22-0922-17,PC,EVS,RM
28-22-0922-18,PC,EVS,RM
28-22-0922-19,PC,EVS,RM
28-22-0922-20,PC,EVS,RM
28-22-0922-21,PC,EVS,RM
28-22-0922-22,PC,EVS,RM
28-22-0922-23,PC,EVS,RM
28-22-0922-24,PC,EVS,RM
28-22-0922-25,PC,EVS,RM
28-22-0922-26,PC,EVS,RM
28-22-0922-27,PC,EVS,RM
28-22-0922-28,PC,EVS,RM
28-22-0922-29,PC,EVS,RM
28-22-0922-32,PC,EVS,RM
28-22-0922-33,PC,EVS,RM
28-22-0922-34,PC,EVS,RM
28-22-0922-35,PC,EVS,RM
28-22-0922-36,PC,EVS,RM
28-22-0922-37,PC,EVS,RM
28-22-0922-38,PC,EVS,RM
28-22-0922-39,PC,EVS,RM
28-22-0922-40,PC,EVS,RM
28-22-0922-41,PC,EVS,RM
28-22-0922-42,PC,EVS,RM
28-22-0922-43,PC,EVS,RM
28-22-0922-44,PC,EVS,RM
28-22-0922-47,PC,EVS,RM
28-22-0922-48,PC,EVS,RM
28-22-0922-49,PC,EVS,RM
28-22-0922-50,PC,EVS,RM
28-22-0922-51,PC,EVS,RM
28-22-0922-52,PC,EVS,RM
28-22-0922-53,PC,EVS,RM
28-22-0922-54,PC,EVS,RM
28-22-0922-55,PC,EVS,RM
28-22-0922-56,PC,EVS,RM
28-22-0922-57,PC,EVS,RM
28-22-0922-58,PC,EVS,RM
28-22-0922-59,PC,EVS,RM
28-22-0980,PC,EVS,RM
28-22-0981,PC,EVS,RM
28-22-0982,PC,EVS,RM
28-22-0986,PC,EVS,RM
28-22-0987,PC,EVS,RM
28-22-0988,PC,EVS,RM
28-22-0989,PC,EVS,RM
28-22-0990-01,PC,EVS,RM
28-22-0990-02,PC,EVS,RM
28-22-0990-03,PC,EVS,RM
28-22-0990-04,PC,EVS,RM
28-22-0990-05,PC,EVS,RM
28-22-0991-01,PC,EVS,RM
28-22-0991-02,PC,EVS,RM
28-22-0991-03,PC,EVS,RM
28-22-0992-01,PC,EVS,RM
28-22-0992-02,PC,EVS,RM
28-22-0992-03,PC,EVS,RM
28-22-0992-04,PC,EVS,RM
28-22-0992-05,PC,EVS,RM
28-22-0993-01,PC,EVS,RM
28-22-0993-02,PC,EVS,RM
28-22-0993-03,PC,EVS,RM
28-22-0994-01,PC,EVS,RM
28-22-0994-02,PC,EVS,RM
28-22-0994-03,PC,EVS,RM
28-22-0994-04,PC,EVS,RM
28-22-0995-02,PC,EVS,RM
28-22-0995-03,PC,EVS,RM
28-22-1056,PC,EVS,RM
28-22-1117,PC,EVS,RM
28-22-1118-01,PC,EVS,RM
28-22-1118-02,PC,EVS,RM
28-22-1118-03,PC,EVS,RM
28-22-1118-04,PC,EVS,RM
28-22-1118-05,PC,EVS,RM
28-22-1118-07,PC,EVS,RM
28-22-1118-08,PC,EVS,RM
28-22-1118-09,PC,EVS,RM
28-22-1118-10,PC,EVS,RM
28-22-1118-11,PC,EVS,RM
28-22-1118-12,PC,EVS,RM
28-22-1118-13,PC,EVS,RM
28-22-1118-14,PC,EVS,RM
28-22-1118-15,PC,EVS,RM
28-22-1118-16,PC,EVS,RM
28-22-1118-17,PC,EVS,RM
28-22-1118-18,PC,EVS,RM
28-22-1118-19,PC,EVS,RM
28-22-1118-20,PC,EVS,RM
28-22-1118-21,PC,EVS,RM
28-22-1118-22,PC,EVS,RM
28-22-1118-23,PC,EVS,RM
28-22-1118-24,PC,EVS,RM
28-22-1118-25,PC,EVS,RM
28-22-1118-26,PC,EVS,RM
28-22-1118-27,PC,EVS,RM
28-22-1118-28,PC,EVS,RM
28-22-1118-29,PC,EVS,RM
28-22-1118-30,PC,EVS,RM
28-22-1118-31,PC,EVS,RM
28-22-1118-32,PC,EVS,RM
28-22-1118-33,PC,EVS,RM
28-22-1118-34,PC,EVS,RM
28-22-1118-35,PC,EVS,RM
28-22-1118-36,PC,EVS,RM
28-22-1118-37,PC,EVS,RM
28-22-1118-38,PC,EVS,RM
28-22-1118-39,PC,EVS,RM
28-22-1118-40,PC,EVS,RM
28-22-1118-41,PC,EVS,RM
28-22-1118-42,PC,EVS,RM
28-22-1118-43,PC,EVS,RM
28-22-1143-01,PC,EVS,RM
